MatchNo, Date, Day, Teams, MatchTime , Venue , PollStartTime , PollEndTime 
55, 5 May 2025 , Monday , SRH vs DC , 7:30 PM , Hyderabad , 12:00 AM , 7:30 PM 
56, 6 May 2025 , Tuesday , MI vs GT , 7:30 PM , Mumbai , 12:00 AM , 7:30 PM 
57, 7 May 2025 , Wednesday , KKR vs CSK , 7:30 PM , Kolkata , 12:00 AM , 7:30 PM 
58, 8 May 2025 , Thursday , PBKS vs DC , 7:30 PM , Dharamsala , 12:00 AM , 7:30 PM 
59, 9 May 2025 , Friday , LSG vs RCB , 7:30 PM , Lucknow , 12:00 AM , 7:30 PM 
60, 10 May 2025 , Saturday , SRH vs KKR , 7:30 PM , Hyderabad , 12:00 AM , 7:30 PM 
61, 11 May 2025 , Sunday , PBKS vs MI , 3:30 PM , Dharamsala , 12:00 AM , 3:30 PM 
62, 11 May 2025 , Sunday , DC vs GT , 7:30 PM , Delhi , 12:00 AM , 7:30 PM 
63, 12 May 2025 , Monday , CSK vs RR , 7:30 PM , Chennai , 12:00 AM , 7:30 PM 
64, 13 May 2025 , Tuesday , RCB vs SRH , 7:30 PM , Bengaluru , 12:00 AM , 7:30 PM 
65, 14 May 2025 , Wednesday , GT vs LSG , 7:30 PM , Ahmedabad , 12:00 AM , 7:30 PM 
66, 15 May 2025 , Thursday , MI vs DC , 7:30 PM , Mumbai , 12:00 AM , 7:30 PM 
67, 16 May 2025 , Friday , RR vs PBKS , 7:30 PM , Jaipur , 12:00 AM , 7:30 PM 
68, 17 May 2025 , Saturday , RCB vs KKR , 7:30 PM , Bengaluru , 12:00 AM , 7:30 PM 
69, 18 May 2025 , Sunday , GT vs CSK , 3:30 PM , Ahmedabad , 12:00 AM , 3:30 PM 
70, 18 May 2025 , Sunday , LSG vs SRH , 7:30 PM , Lucknow , 12:00 AM , 7:30 PM 
71, 20 May 2025 , Tuesday , Qualifier 1 , 7:30 PM , Hyderabad , 12:00 AM , 7:30 PM 
72, 21 May 2025 , Wednesday , Eliminator , 7:30 PM , Hyderabad , 12:00 AM , 7:30 PM 
73, 23 May 2025 , Friday , Qualifier 2 , 7:30 PM , Kolkata , 12:00 AM , 7:30 PM 
74, 25 May 2025 , Sunday , Final , 7:30 PM , Kolkata , 12:00 AM , 7:30 PM 
